iter	RMSE
0	663.6208376
1	636.4272933
2	609.9757022
3	584.9901325
4	561.2032498
5	538.910702
6	517.9947502
7	497.8672109
8	478.7588808
9	460.8470224
10	443.5349913
11	427.6462156
12	412.6620032
13	398.4631339
14	384.8478664
15	371.7734272
16	359.8988622
17	348.9202655
18	337.79916
19	327.6400179
20	318.4756514
21	309.5082778
22	301.0529292
23	293.1299353
24	285.7434667
25	278.7307186
26	272.2798949
27	266.085462
28	260.4899952
29	255.4024594
30	250.6243058
31	245.9284382
32	241.7465999
33	237.6149447
34	233.7222288
35	230.1970969
36	226.8881712
37	223.9695279
38	221.0828587
39	218.3665636
40	215.9224355
41	213.6687574
42	211.4854472
43	209.4795633
44	207.6506365
45	205.9141356
46	204.5523606
47	202.9459541
48	201.6298674
49	200.3762515
50	199.1666727
51	198.0820113
52	196.9991061
53	195.9173296
54	194.9907405
55	194.1531673
56	193.3198395
57	192.5230527
58	191.8354797
59	191.1318668
60	190.432242
61	189.7627821
62	189.1142206
63	188.490097
64	187.9532323
65	187.3638577
66	186.8743997
67	186.4094499
68	185.9809798
69	185.494007
70	185.0918415
71	184.6704411
72	184.30586
73	183.9540272
74	183.5637636
75	183.150098
76	182.8135632
77	182.5164593
78	182.188186
79	181.9039388
80	181.5455247
81	181.2637638
82	180.9622905
83	180.6040553
84	180.2676622
85	180.0479121
86	179.7525745
87	179.4618538
88	179.1483597
89	178.9157807
90	178.6946646
91	178.5170839
92	178.3305231
93	178.1155288
94	177.8515001
95	177.6174452
96	177.4363994
97	177.2325159
98	177.0325099
99	176.8891544
100	176.7355128
101	176.4836746
102	176.2989642
103	176.1789472
104	176.150448
105	176.0156569
106	175.8283556
107	175.6733936
108	175.4582114
109	175.3001278
110	175.0876596
111	174.9221436
112	174.7461332
113	174.6015731
114	174.4384351
115	174.3013268
116	174.1914748
117	174.0584011
118	173.9243263
119	173.7490517
120	173.6088037
121	173.5000844
122	173.3980966
123	173.2891452
124	173.131553
125	173.0132948
126	172.9001637
127	172.7220797
128	172.5340976
129	172.4521734
130	172.2485202
131	172.151593
132	172.0044923
133	171.8367979
134	171.7073373
135	171.5735864
136	171.4264966
137	171.3387537
138	171.2050984
