,common_delayp90
2025-05-13 11:41:15,3151.8067492950213
2025-05-13 11:41:30,3151.8067492950217
2025-05-13 11:41:45,3151.7465584752467
2025-05-13 11:42:00,3151.627253517245
2025-05-13 11:42:15,3151.4506832038296
2025-05-13 11:42:30,3151.2196287314946
2025-05-13 11:42:45,3150.935538064678
2025-05-13 11:43:00,3150.600179683501
2025-05-13 11:43:15,3150.2172756576488
2025-05-13 11:43:30,3149.790583142292
2025-05-13 11:43:45,3149.322191493932
2025-05-13 11:44:00,3148.8114757985036
2025-05-13 11:44:15,3148.256457414004
2025-05-13 11:44:30,3147.655313023681
2025-05-13 11:44:45,3147.0071053907454
2025-05-13 11:45:00,3146.3151593951193
2025-05-13 11:45:15,3145.585166583854
2025-05-13 11:45:30,3144.8215231655254
2025-05-13 11:45:45,3144.025270315881
2025-05-13 11:46:00,3143.1963177698685
2025-05-13 11:46:15,3142.3398327604355
2025-05-13 11:46:30,3141.464641402808
2025-05-13 11:46:45,3140.576785689464
2025-05-13 11:47:00,3139.6790974038886
2025-05-13 11:47:15,3138.7746604066056
2025-05-13 11:47:30,3137.866794406184
2025-05-13 11:47:45,3136.9590360125594
2025-05-13 11:48:00,3136.0551172249134
2025-05-13 11:48:15,3135.160323013302
2025-05-13 11:48:30,3134.281480397413
2025-05-13 11:48:45,3133.4232651283705
2025-05-13 11:49:00,3132.5881754207585
2025-05-13 11:49:15,3131.7777224648935
2025-05-13 11:49:30,3130.9930653569013
2025-05-13 11:49:45,3130.23638214402
2025-05-13 11:50:00,3129.511810290238
2025-05-13 11:50:15,3128.824806929015
2025-05-13 11:50:30,3128.1798901295133
2025-05-13 11:50:45,3127.5808450795344
2025-05-13 11:51:00,3127.0326217815605
2025-05-13 11:51:15,3126.53968609596
2025-05-13 11:51:30,3126.1043934153804
2025-05-13 11:51:45,3125.72753506356
2025-05-13 11:52:00,3125.410037613566
2025-05-13 11:52:15,3125.155373005201
2025-05-13 11:52:30,3124.96531146817
2025-05-13 11:52:45,3124.8392836216867
2025-05-13 11:53:00,3124.7768526213245
